見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
小児がん医療講演会,小児がんを知る～笑顔のためにできること～,,,12月16日（土）13:30?15:00,県民文化会館（和歌山市）,患者とその家族、教育・保健・医療・福祉関係者など ,50人（先着順）,,,,電話、ファックスで氏名、電話番号を（手話通訳・要約筆記希望者は11月15日、一時保育希望者は12月5日までに） 県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
税務課からのお知らせ,①11月11?17日は「税を考える週間」今年のテーマは「くらしを支える税」です。この機会に税の意義や役割について考えてみましょう。②11・12月は「滞納整理強化月間」県と市町村、和歌山地方税回収機構が、差押処分や合同捜索などを集中的に行います。未納の税金がある方は至急納付してください。③個人事業税後期分の納税について納期限は11月30日（木）です。金融機関、コンビニなどで早めに納めてください。,,,,,,,,,県庁税務課,,,,,http://www.pref.wakayama.lg.jp/prefg/010500/index.html,,,
税務課からのお知らせ,不動産合同公売の実施 ,,,（1）11月28日（2）12月5日いずれも火曜 受付13:00?13:10,（1）西牟婁振興局(田辺市)　（2）県自治会館（和歌山市）,,,,,（1）田辺市=紀南県税事務所 電話0739-26-7908、那智勝浦町=那智勝浦町税務課 電話0735-52-1095（2）和歌山市=和歌山市納税課 電話073-435-1038海南市=海南市税務課 電話073-482-4111岩出市=岩出市税務課 電話0736-62-2141白浜町=白浜町税務課 電話0739-43-3685岩出市=和歌山地方税回収機構 電話073-422-3640※詳しくは要問合せ　 ,,,,,http://www.pref.wakayama.lg.jp/prefg/010500/koubai/koubaijouhou.html,,,
12・1月開始の職業訓練受講生,就職に有利な専門知識や技能を修得,科目：(1)介護初級科(2)パソコン経理事務基礎科(3)溶接加工科(4)住環境計画科(5)電気設備技術科(6)OA営業事務員養成科(7)OAパソコン基礎科(8)ビジネスパソコン基礎科,,,：(1)～(5)和歌山市(6)岩出市(7)御坊市(8)新宮市,,,,,,ハローワーク（申込締切日あり）※詳しくはWEBサイトを要確認,,,,http://wakayama-roudoukyoku.jsite.mhlw.go.jp/riyousha_mokuteki_menu/kyushokuchu/201712.html,,,
難病患者等支援者研修会,テーマ：人の心を支える傾聴の基礎～実習を通して学ぶ～,,,11月28日(火) 13:30?15:30,和歌山ビッグ愛（和歌山市）,,30人（先着順）,,,,話、ファックスで氏名、電話番号を11月14日までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/index.html,,,
肝炎無料出張相談,,,,11月27日（月）10:00?16:00,橋本保健所,,5人（先着順）,,電話で県立医大肝疾患相談支援センター 電話073-441-0850,県庁健康推進課,,,,,http://www.pref.wakayama.lg.jp/prefg/041200/h_kansen/kanentaisakujigyou.html,,,
介護未経験の中高年齢者等研修会・就職相談会,,,,：(1)12月13?15日(2)平成30年1月15?17日(3)1月31日?2月2日 (4)2月14?16日,(1)和歌山市民会館(2)財部会館（御坊市）(3)橋本市民会館(4)有田市民会館,県内の介護職場への就職を希望する未経験の方 ,各20人（先着順）,,,,ファックスで所定の申込書（申込先で配布）を県介護普及センター電話0739-22-6589　ファックス0739-22-6569,,,,http://www.wakayamakenshakyo.or.jp/,,,
第37回北方領土返還要求和歌山県民大会,講演や中学生の北方領土問題現地研修報告など,,,11月16日（木）13:00?16:00,高野山大学（高野町）,,300人（先着順）,,,県庁広報課 ,,,,,,,,
UIターン就農相談フェア,新規就農や農業法人への就職を希望する方への相談会,,,11月26日（日）10:00?15:00,和歌山ビッグ愛（和歌山市）,,,,,県就農支援センター 電話0738-23-3488,,,,,http://www.pref.wakayama.lg.jp/prefg/071601/,,,
風しんワクチンを受けましょう,将来の赤ちゃんを守るため、ワクチン接種をおすすめします。,,,,,19歳以上50歳未満の妊娠を希望する女性、妊婦の夫,,無料（一部自己負担の場合有り）,,市町村,,,,,http://www.pref.wakayama.lg.jp/prefg/041200/h_kansen/rubella/rubella.html,,,
